# Please cite arXiv:2005.07200
# The invisible decay probability (as defined in the text) as a function of final neutrino energy (GeV) for various different couplings
# The first row is the parameters:
#   Initial flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   Final flavor (nu_e = 0, nu_mu = 1, nu_tau = 2)
#   m_1 (eV)
#   z
#   g
# The columns are:
#   E_f (GeV)
#   Probability in the SM
#   Probability with only g_21=g and g'_21=g and the rest =0
#   Probability with only g_31=g and g'_31=g and the rest =0
#   Probability with only g_32=g and g'_32=g and the rest =0
#   Probability with all six couplings =g
1 0 0 1 1e-06
8.31764e+07 0.0462713 0.0459989 0.0453846 0.0453852 0.0444832
9.54993e+07 0.0462713 0.0460339 0.0454826 0.0454832 0.0446606
1.09648e+08 0.0462713 0.0460644 0.0455717 0.0455722 0.0448258
1.25893e+08 0.0462713 0.046091 0.0456521 0.0456525 0.0449784
1.44544e+08 0.0462713 0.0461142 0.0457243 0.0457247 0.0451185
1.65959e+08 0.0462713 0.0461344 0.045789 0.0457894 0.0452463
1.90546e+08 0.0462713 0.046152 0.0458467 0.045847 0.0453621
2.18776e+08 0.0462713 0.0461674 0.0458979 0.0458982 0.0454666
2.51189e+08 0.0462713 0.0461808 0.0459434 0.0459437 0.0455605
2.88403e+08 0.0462713 0.0461924 0.0459837 0.0459839 0.0456445
3.31131e+08 0.0462713 0.0462026 0.0460192 0.0460194 0.0457194
3.80189e+08 0.0462713 0.0462115 0.0460505 0.0460507 0.0457861
4.36516e+08 0.0462713 0.0462192 0.0460781 0.0460783 0.0458452
5.01187e+08 0.0462713 0.0462259 0.0461023 0.0461025 0.0458974
5.7544e+08 0.0462713 0.0462317 0.0461236 0.0461237 0.0459436
6.60693e+08 0.0462713 0.0462368 0.0461422 0.0461423 0.0459843
7.58578e+08 0.0462713 0.0462413 0.0461586 0.0461587 0.0460201
8.70964e+08 0.0462713 0.0462451 0.0461729 0.046173 0.0460516
1e+09 0.0462713 0.0462485 0.0461854 0.0461855 0.0460792
